client_ip,server_ip,client_port,server_port,proto,packets_total,packets_c2s,packets_s2c,bytes_cap_total,bytes_cap_c2s,bytes_cap_s2c,bytes_wire_total,bytes_wire_c2s,bytes_wire_s2c,first_ts_ns,last_ts_ns,duration_ns,tcp_syn_total,tcp_syn_c2s,tcp_synack_s2c,tcp_ack_total,tcp_fin_total,tcp_rst_total,tcp_psh_total,tls_client_hello_c2s,ja4_legacy_version,ja4_cipher_suites_count,ja4_extensions_count,ja4_has_sni,ja4_alpn,ja4_cipher_suites,ja4_extensions,avg_wirelen_total,anomaly_score,is_anomaly,ja4_present,duration_s,bytes_per_packet,bytes_per_s,c2s_to_s2c_ratio,s2c_to_c2s_ratio,is_tls,is_tls_nonstandard_port,timeline_bucket_id,timeline_bucket_s
10.3.14.101,104.17.123.55,49782,443,6,13881,4464,9417,13439124,279486,13159638,13439124,279486,13159638,1710448923153284000,1710448949968108000,26814824000,2,1,1,13880,1,0,1535,1,0303,20,12,1,h2;http/1.1,1302;1301;c02c;c02b;c030;c02f;c024;c023;c028;c027;c00a;c009;c014;c013;009d;009c;003d;003c;0035;002f,0000;0005;002b;000d;0023;000a;0010;0033;0031;0017;ff01;002d,968.167,0.9715206,1,1,26.814824,968.1668467689648,501182.6294291545,0.021238122203665482,47.08514201069105,1,0,28507482,1710448920
10.3.14.101,20.42.65.92,49781,443,6,1,1,0,66,66,0,66,66,0,1710448921827222000,1710448921827222000,0,0,0,0,1,0,0,0,0,-,0,0,0,-,-,-,66.0,0.6624796,1,1,0.0,66.0,0.0,66.0,0.0,1,0,28507482,1710448920
20.42.65.92,10.3.14.101,443,49781,6,1,1,0,66,66,0,66,66,0,1710448921826920000,1710448921826920000,0,0,0,0,1,1,0,0,0,-,0,0,0,-,-,-,66.0,0.64042306,1,1,0.0,66.0,0.0,66.0,0.0,1,1,28507482,1710448920
104.17.123.55,10.3.14.101,443,49769,6,1,1,0,60,60,0,60,60,0,1710448900347763000,1710448900347763000,0,0,0,0,1,1,0,0,0,-,0,0,0,-,-,-,60.0,0.037430726,0,1,0.0,60.0,0.0,60.0,0.0,1,1,28507481,1710448860
10.3.14.101,23.34.82.70,49772,443,6,22,10,12,8518,2442,6076,8518,2442,6076,1710448898388438000,1710448900305881000,1917443000,2,1,1,21,1,0,10,1,0303,15,17,1,h2;http/1.1,1301;1302;1303;c02b;c02f;c02c;c030;cca9;cca8;c013;c014;009c;009d;002f;0035,000a;000b;001b;0010;4469;fe0d;ff01;002d;002b;000d;0005;0012;0000;0017;0033;0023;0015,387.182,0.98059756,1,1,1.917443,387.1818181818182,4442.374558200687,0.401909150757077,2.488124488124488,1,0,28507481,1710448860
10.3.14.101,204.79.197.239,49771,443,6,31,14,17,12267,2798,9469,12267,2798,9469,1710448898140595000,1710448900340948000,2200353000,2,1,1,30,1,0,14,1,0303,15,16,1,h2;http/1.1,1301;1302;1303;c02b;c02f;c02c;c030;cca9;cca8;c013;c014;009c;009d;002f;0035,4469;ff01;0023;002b;002d;fe0d;0000;0033;000a;0017;0010;000b;000d;001b;0005;0012,395.71,0.99078745,1,1,2.200353,395.7096774193548,5575.014554482849,0.2954905481043405,3.384203002144389,1,0,28507481,1710448860
10.3.14.101,10.3.14.1,63740,53,17,2,1,1,343,79,264,343,79,264,1710448898352686000,1710448898387995000,35309000,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,171.5,0.00011886332,0,1,0.035309,171.5,9714.237163329462,0.29924242424242425,3.3417721518987342,1,1,28507481,1710448860
10.3.14.101,52.153.155.231,49770,443,6,20,10,10,9635,2238,7397,9635,2238,7397,1710448898118016000,1710448900305835000,2187819000,2,1,1,19,1,0,8,1,0303,15,16,1,h2;http/1.1,1301;1302;1303;c02b;c02f;c02c;c030;cca9;cca8;c013;c014;009c;009d;002f;0035,000a;4469;0010;002b;0033;0005;0023;001b;000d;000b;0017;002d;fe0d;0000;0012;ff01,481.75,0.98772323,1,1,2.187819,481.75,4403.929209866081,0.30255508990131136,3.305183199285076,1,0,28507481,1710448860
10.3.14.101,104.17.123.55,49760,443,6,15,8,7,5148,1009,4139,5148,1009,4139,1710448886827045000,1710448996783405000,109956360000,2,1,1,14,1,0,5,1,0303,20,11,1,-,1302;1301;c02c;c02b;c030;c02f;c024;c023;c028;c027;c00a;c009;c014;c013;009d;009c;003d;003c;0035;002f,0000;0005;002b;000d;0023;000a;0033;0031;0017;ff01;002d,343.2,0.99791795,1,1,109.95636,343.2,46.81857420525743,0.24377869050495288,4.102081268582755,1,0,28507481,1710448860
10.3.14.101,91.134.150.150,49776,3232,6,46,25,21,14377,12956,1421,14377,12956,1421,1710448910319576000,1710449029088519000,118768943000,2,1,1,45,0,0,17,1,0301,6,5,0,-,c00a;c009;c014;c013;0035;002f,000a;000b;0023;0017;ff01,312.543,0.9944636,1,1,118.768943,312.54347826086956,121.05016376208721,9.117522871217453,0.10967891324482865,1,1,28507481,1710448860
